window_id,start_time,end_time,accel_VectorRMS,accel_PC1_PeakToPeak,accel_VectorCrestFactor,accel_PC1_DominantFreq,accel_PC1_RMSF,accel_PC1_VarianceRatio,accel_PC1_Direction_X,accel_PC1_Direction_Y,accel_PC1_Direction_Z,gyro_VectorRMS,gyro_STD_X,gyro_STD_Y,gyro_STD_Z,pressure_Mean,temperature_Mean,anomaly_score,prediction,prediction_label,prediction_time
0,0.0,10.0,1.0164519792364763,0.4399269736496753,1.1548095693942009,0.2,2.422453431484267,0.4644116979518645,-0.873888875274391,-0.1217590612474976,-0.4706303907269362,4.4157195018373,0.289215357623566,2.0832331298477587,1.5262080913286724,1022.436796875,24.796093750000008,-0.5561628479800862,-1,Anomaly,2025-11-24 16:51:11
1,5.0,15.0,1.0310386214804832,0.4390732126073217,1.1917635258083188,0.3,2.3881520990285474,0.5165776363942179,-0.5539907583210955,0.2196530852979016,0.8030235126158697,4.311567279750196,0.2899329848221244,2.120955254140867,1.571619398474742,1022.446796875,24.800000000000008,-0.5960310067242336,-1,Anomaly,2025-11-24 16:51:11
2,10.0,20.0,1.0317145191682144,0.4099961199898362,1.1909827766800951,0.2,2.106516116083761,0.5161126883475448,-0.8083689247618155,0.0065201119822687,0.5886401019461421,4.189158372867842,0.2983053529244388,1.815303542124076,1.61235268420761,1022.447265625,24.800000000000008,-0.5711774893397025,-1,Anomaly,2025-11-24 16:51:11
3,15.0,25.0,1.0302761747084492,0.3868464269074905,1.1883632802126864,1.2000000000000002,2.2834631719480583,0.4907047888815078,-0.984021587543239,-0.1104347961260086,0.1396627045903477,4.309516494386653,0.3216618422493991,1.7516664598704663,1.397574919304278,1022.46203125,24.800000000000008,-0.5270285342217571,-1,Anomaly,2025-11-24 16:51:11
4,20.0,30.0,1.0372811539142244,0.3459178926597103,1.1803380114267032,0.5,2.334297492022443,0.4874660294881849,-0.8349998863303576,-0.1816243944724729,-0.5194109829035168,4.59003733327512,0.2996596023902579,1.767171937085919,1.4629375703039873,1022.458984375,24.800000000000008,-0.5487780477565729,-1,Anomaly,2025-11-24 16:51:11
5,25.0,35.0,1.048498644863812,0.4251813944627979,1.1756282397696671,0.2,2.329037460805183,0.4912967979002727,-0.6589179845959576,-0.2605345934471952,-0.7056548839151517,5.067134420520636,0.3098507155110505,2.4033079922195384,1.615702315857159,1022.440546875,24.800000000000008,-0.5454715198250176,-1,Anomaly,2025-11-24 16:51:11
6,30.0,40.0,1.043645459435339,0.4403166544453899,1.1810951747244154,0.2,2.255019256889816,0.4804408836916629,-0.5342429682232489,-0.3513247488471243,-0.7688662899045045,5.01398874667633,0.3287056079289794,2.451528359973806,1.545983552363895,1022.439921875,24.82890625,-0.5680054333578463,-1,Anomaly,2025-11-24 16:51:11
7,35.0,45.0,1.036351673804252,0.5232608316700196,1.1580180461508778,0.2,2.031163612021657,0.5834087634029517,-0.99584094059395,0.0231769737949145,0.0881115708784432,4.526677079504277,0.3295047668714236,1.9468974583921088,1.4417202097496875,1022.4384375,24.878906249999996,-0.5176488956313096,-1,Anomaly,2025-11-24 16:51:11
8,40.0,50.0,1.0447673922487484,0.5071376292688032,1.1900785420466422,0.3,2.0794972017718445,0.551360467415692,-0.980800468710491,0.0641577561358364,-0.1841581464527059,4.298224594645518,0.3549366765353723,1.8594218465958772,1.4921961880422387,1022.440078125,24.92734375,-0.5083545782909615,-1,Anomaly,2025-11-24 16:51:11
9,45.0,55.0,1.0382184738546725,0.3891952291478112,1.197585369800793,0.8,2.318322793081563,0.4725258994524299,-0.9729289121860508,0.2296075176440447,0.0262625146131796,4.398161938073179,0.3268305541744342,1.7899191641078454,1.554662376326524,1022.444765625,24.97734375,-0.5400621006256201,-1,Anomaly,2025-11-24 16:51:11
